customer_id,age,annual_income,employment_length,home_ownership,loan_amount,loan_intent,loan_grade,interest_rate,loan_percent_income,historical_default,credit_history_length,credit_score,loan_status
CUST-000001,28,75000.0,4,MORTGAGE,15000,PERSONAL,B,11.5,0.2,N,6,710,0
CUST-000002,35,45000.0,2,RENT,12000,DEBT_CONSOLIDATION,D,16.2,0.27,Y,13,620,1
CUST-000003,42,120000.0,12,OWN,5000,HOME_IMPROVEMENT,A,7.9,0.04,N,22,785,0
CUST-000004,24,38000.0,1,RENT,18000,EDUCATION,E,18.5,0.47,N,3,590,1
CUST-000005,50,95000.0,8,MORTGAGE,25000,VENTURE,C,13.1,0.26,N,29,680,0
CUST-000006,31,62000.0,5,RENT,8000,MEDICAL,B,10.2,0.13,N,10,735,0
CUST-000007,45,105000.0,15,MORTGAGE,35000,DEBT_CONSOLIDATION,C,14.5,0.33,Y,25,660,1
CUST-000008,22,29000.0,0,RENT,4000,PERSONAL,D,17.1,0.14,N,2,610,0
CUST-000009,55,150000.0,20,OWN,10000,HOME_IMPROVEMENT,A,6.5,0.07,N,35,810,0
CUST-000010,29,82000.0,3,MORTGAGE,20000,EDUCATION,B,9.8,0.24,N,8,720,0
